,actual,XGCensus,XGCombined
0,4.04305126783455,2.9528904,3.377482
1,5.204006687076795,4.550357,5.0748644
2,5.351858133476067,5.187939,5.0004997
3,7.291656209174461,6.6941276,6.2613373
4,0.0,3.160015,3.0983295
5,3.4965075614664802,3.0305188,2.5748703
6,4.290459441148391,4.42048,4.264586
7,6.926577033222725,6.8289247,6.4847093
8,3.4965075614664802,4.333775,3.846752
9,3.828641396489095,3.5189698,3.4672384
10,1.3862943611198906,1.0482843,1.4941875
11,3.9512437185814275,4.360776,4.4572797
12,3.912023005428146,3.7037737,3.3536558
13,2.3978952727983707,3.0593367,3.650283
14,4.382026634673881,3.3043408,2.9358718
15,4.543294782270004,3.8490922,3.5737877
16,3.784189633918261,3.3816764,3.3555312
17,4.330733340286331,4.1654973,4.92614
18,6.361302477572996,5.937074,5.8908324
19,3.6375861597263857,3.681126,3.6357415
20,3.044522437723423,3.3098211,3.4370577
21,6.601230118728877,6.6531982,6.67324
22,5.3471075307174685,5.547303,5.8414187
23,3.044522437723423,2.8927467,2.8695185
24,5.4510384535657,5.285983,5.5637174
25,0.6931471805599453,2.1858253,1.0199012
26,3.6888794541139363,4.3524876,4.0334554
27,5.7430031878094825,5.7173743,5.1730947
28,4.820281565605037,5.242697,5.6070385
29,2.70805020110221,3.3984396,3.875081
30,0.0,0.7173638,0.6670024
31,5.958424693029782,5.0781255,4.5964217
32,6.406879986069314,6.260276,6.151986
33,0.0,2.045952,2.2979548
34,5.214935757608986,4.7784467,4.8010516
35,6.023447592961033,5.475231,5.3503904
36,5.214935757608986,5.4793863,5.0629196
37,4.7535901911063645,4.8305316,5.384753
38,4.983606621708336,4.500788,3.9096327
39,3.912023005428146,4.378554,3.9057407
40,5.805134968916488,5.618286,5.2780533
41,4.976733742420574,5.1465964,5.0402827
42,0.0,-0.06721337,-0.13453025
43,3.2188758248682006,3.5310278,3.5885165
44,5.093750200806762,4.6152396,4.8475833
45,5.2574953720277815,4.802954,5.0188007
46,5.8944028342648505,5.6756334,5.93065
47,5.8522024797744745,5.839221,5.374773
48,4.919980925828125,4.9554534,5.0852036
49,5.176149732573829,5.08894,4.558741
50,6.9975959829819265,6.675909,6.130938
51,3.871201010907891,3.7695115,3.5824294
52,4.343805421853684,4.140722,4.18884
53,3.7376696182833684,3.6620245,3.6358283
54,4.0943445622221,3.7210515,3.9046028
55,5.857933154483459,5.4485807,4.997142
56,4.394449154672439,4.5560565,4.069435
57,7.786967002614872,7.6176014,7.6983476
58,5.181783550292085,5.263861,4.6507864
59,3.044522437723423,3.2298362,4.1034827
